gender,age_group,race,education,household_income,state,vote_Trump,vote_Biden,vote_intention
Female,65 years and older,White,Some college or associate degree,"$25,000 to $34,999",WI,0,0,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$45,000 to $54,999",FL,0,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$45,000 to $54,999",CT,1,0,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,NA,NC,1,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$25,000 to $34,999",OR,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",IL,1,0,"Yes, I will vote"
Female,18-29 year olds,White,Some college or associate degree,"Less than $14,999",NJ,0,1,"No, I will not vote but I am eligible"
Female,65 years and older,White,Some college or associate degree,"$45,000 to $54,999",TX,0,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$25,000 to $34,999",CA,1,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,NA,NC,1,0,"Yes, I will vote"
Female,65 years and older,White,Bachelor's degree or higher,"$150,000 and over",FL,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$35,000 to $44,999",IA,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",GA,1,0,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",IL,0,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",NY,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$25,000 to $34,999",WA,0,1,"Yes, I will vote"
Female,30-44 year olds,White,Some college or associate degree,"$55,000 to $74,999",MI,0,1,"Yes, I will vote"
Female,65 years and older,White,High school graduate,"$55,000 to $74,999",SC,0,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$55,000 to $74,999",OH,0,1,"Yes, I will vote"
Female,30-44 year olds,White,High school graduate,"$45,000 to $54,999",IL,1,0,"Yes, I will vote"
Female,65 years and older,White,High school graduate,"$75,000 to $99,999",MA,0,1,"Yes, I will vote"
Female,30-44 year olds,Asian,Bachelor's degree or higher,"$75,000 to $99,999",MO,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",CO,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$45,000 to $54,999",IL,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$25,000 to $34,999",NC,0,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",NC,1,0,"Yes, I will vote"
Female,65 years and older,White,Bachelor's degree or higher,"$55,000 to $74,999",NY,0,1,"Yes, I will vote"
Female,45-64 year olds,White,High school graduate,"$55,000 to $74,999",IN,1,0,"Yes, I will vote"
Female,30-44 year olds,Asian,Bachelor's degree or higher,"$45,000 to $54,999",CA,0,1,"Yes, I will vote"
Female,18-29 year olds,White,Some college or associate degree,"$150,000 and over",FL,1,0,"Yes, I will vote"
Female,18-29 year olds,White,High school graduate,NA,FL,0,0,Not sure
Female,65 years and older,White,Some college or associate degree,"$55,000 to $74,999",PA,1,0,"Yes, I will vote"
Female,30-44 year olds,White,Some college or associate degree,"$25,000 to $34,999",SC,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",IL,1,0,"Yes, I will vote"
Female,18-29 year olds,Black,Some college or associate degree,NA,PA,0,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$15,000 to $24,999",OH,0,1,"Yes, I will vote"
Male,45-64 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",NY,1,0,"Yes, I will vote"
Male,65 years and older,White,Some college or associate degree,"$55,000 to $74,999",IA,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",WI,1,0,"Yes, I will vote"
Female,18-29 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",CT,0,1,"Yes, I will vote"
Female,45-64 year olds,White,High school graduate,"$25,000 to $34,999",PA,1,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$100,000 to $149,999",NJ,0,1,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",DC,0,1,"Yes, I will vote"
Male,65 years and older,White,Bachelor's degree or higher,"$100,000 to $149,999",PA,0,1,"Yes, I will vote"
Male,18-29 year olds,White,Some college or associate degree,"$45,000 to $54,999",GA,1,0,Not sure
Female,30-44 year olds,White,Bachelor's degree or higher,"$150,000 and over",NY,0,1,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$150,000 and over",FL,1,0,"Yes, I will vote"
Male,18-29 year olds,Black,Didn't graduate from high school,"Less than $14,999",FL,0,1,"Yes, I will vote"
Male,45-64 year olds,Asian,Some college or associate degree,"Less than $14,999",NY,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$25,000 to $34,999",GA,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$75,000 to $99,999",IL,1,0,"Yes, I will vote"
Male,65 years and older,White,Some college or associate degree,"$55,000 to $74,999",NM,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",TN,0,1,"Yes, I will vote"
Female,45-64 year olds,Asian,Bachelor's degree or higher,"$25,000 to $34,999",CA,0,1,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",NC,1,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,NA,VA,1,0,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$45,000 to $54,999",MN,1,0,"Yes, I will vote"
Male,65 years and older,White,Some college or associate degree,"$25,000 to $34,999",WI,1,0,"Yes, I will vote"
Male,30-44 year olds,White,Some college or associate degree,"Less than $14,999",AZ,0,0,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",PA,0,1,"Yes, I will vote"
Female,18-29 year olds,White,Some college or associate degree,"$25,000 to $34,999",OK,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",IL,1,0,"Yes, I will vote"
Male,45-64 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",FL,1,0,"Yes, I will vote"
Female,65 years and older,Black,NA,"$100,000 to $149,999",DC,0,1,"No, I am not eligible to vote"
Female,45-64 year olds,White,NA,"$55,000 to $74,999",TX,1,0,"Yes, I will vote"
Female,18-29 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",IN,1,0,Not sure
Male,45-64 year olds,White,Bachelor's degree or higher,"$15,000 to $24,999",OH,1,0,"Yes, I will vote"
Male,18-29 year olds,Black,High school graduate,"$45,000 to $54,999",OH,0,0,"No, I will not vote but I am eligible"
Male,65 years and older,White,Some college or associate degree,"$45,000 to $54,999",AZ,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",NJ,1,0,"Yes, I will vote"
Male,65 years and older,White,Some college or associate degree,NA,CO,0,1,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$25,000 to $34,999",MA,0,0,Not sure
Male,45-64 year olds,Asian,Bachelor's degree or higher,NA,PA,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,NA,OH,0,1,"Yes, I will vote"
Female,18-29 year olds,White,High school graduate,"$45,000 to $54,999",NC,0,0,"No, I am not eligible to vote"
Male,65 years and older,Asian,Some college or associate degree,"$25,000 to $34,999",HI,0,1,"Yes, I will vote"
Male,45-64 year olds,White,Bachelor's degree or higher,"$75,000 to $99,999",CT,0,1,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"$150,000 and over",FL,0,1,"Yes, I will vote"
Female,45-64 year olds,Asian,Bachelor's degree or higher,NA,IL,0,1,"Yes, I will vote"
Male,65 years and older,White,Bachelor's degree or higher,"$45,000 to $54,999",WI,0,1,Not sure
Female,65 years and older,Black,Some college or associate degree,"$55,000 to $74,999",NJ,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"Less than $14,999",TX,1,0,"Yes, I will vote"
Male,65 years and older,White,Some college or associate degree,"$75,000 to $99,999",TX,1,0,"Yes, I will vote"
Female,65 years and older,White,Bachelor's degree or higher,"$55,000 to $74,999",IN,0,0,"Yes, I will vote"
Male,65 years and older,White,Bachelor's degree or higher,"$100,000 to $149,999",MT,1,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$15,000 to $24,999",PA,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$15,000 to $24,999",TX,0,0,"No, I will not vote but I am eligible"
Female,30-44 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",CA,0,1,NA
Male,65 years and older,White,Bachelor's degree or higher,"$45,000 to $54,999",CA,0,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,NA,TX,1,0,"Yes, I will vote"
Male,65 years and older,Asian,Bachelor's degree or higher,NA,CA,1,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$45,000 to $54,999",TN,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$25,000 to $34,999",NC,0,1,"Yes, I will vote"
Female,18-29 year olds,White,High school graduate,"$15,000 to $24,999",PA,1,0,"Yes, I will vote"
Female,30-44 year olds,Other,Some college or associate degree,"$75,000 to $99,999",CT,0,1,"Yes, I will vote"
Female,30-44 year olds,Black,NA,"$100,000 to $149,999",TN,1,0,"Yes, I will vote"
Female,45-64 year olds,White,High school graduate,"$15,000 to $24,999",TX,0,1,Not sure
Female,45-64 year olds,White,Some college or associate degree,NA,NJ,1,0,"Yes, I will vote"
Male,18-29 year olds,White,High school graduate,"$45,000 to $54,999",PA,0,0,Not sure
Female,65 years and older,White,Bachelor's degree or higher,"$150,000 and over",NJ,0,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$150,000 and over",TN,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$100,000 to $149,999",IL,0,1,"Yes, I will vote"
Female,18-29 year olds,Asian,Bachelor's degree or higher,"$55,000 to $74,999",OR,1,0,Not sure
Male,18-29 year olds,Other,Some college or associate degree,"$55,000 to $74,999",CA,0,1,"Yes, I will vote"
Female,30-44 year olds,White,High school graduate,"Less than $14,999",CT,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$55,000 to $74,999",WI,0,1,"Yes, I will vote"
Female,65 years and older,White,Bachelor's degree or higher,NA,MA,1,0,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"$45,000 to $54,999",FL,0,1,"Yes, I will vote"
Male,18-29 year olds,Black,High school graduate,"$150,000 and over",NV,0,1,"No, I will not vote but I am eligible"
Female,65 years and older,White,Some college or associate degree,"$15,000 to $24,999",VT,0,1,"Yes, I will vote"
Male,18-29 year olds,White,Bachelor's degree or higher,"$150,000 and over",NY,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",NJ,0,0,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",PA,1,0,Not sure
Female,18-29 year olds,White,High school graduate,"$15,000 to $24,999",KY,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$25,000 to $34,999",MD,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$45,000 to $54,999",IL,0,0,Not sure
Male,30-44 year olds,Black,Some college or associate degree,"Less than $14,999",IL,0,1,"No, I will not vote but I am eligible"
Female,65 years and older,White,Bachelor's degree or higher,NA,MO,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$150,000 and over",FL,1,0,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"Less than $14,999",CA,1,0,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$75,000 to $99,999",MT,0,1,"Yes, I will vote"
Female,30-44 year olds,Black,Didn't graduate from high school,"$15,000 to $24,999",WI,0,1,"Yes, I will vote"
Male,45-64 year olds,White,High school graduate,"$100,000 to $149,999",SC,0,1,"No, I will not vote but I am eligible"
Female,45-64 year olds,White,Some college or associate degree,"$45,000 to $54,999",IL,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$150,000 and over",MO,0,1,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$55,000 to $74,999",TX,1,0,"Yes, I will vote"
Male,30-44 year olds,Black,Bachelor's degree or higher,"$100,000 to $149,999",MO,0,0,"No, I am not eligible to vote"
Female,45-64 year olds,White,Bachelor's degree or higher,NA,OH,1,0,Not sure
Male,45-64 year olds,Black,Some college or associate degree,"$15,000 to $24,999",TN,0,1,"Yes, I will vote"
Female,18-29 year olds,White,Some college or associate degree,"$55,000 to $74,999",UT,0,1,"Yes, I will vote"
Male,30-44 year olds,White,Some college or associate degree,"$45,000 to $54,999",MN,0,1,"Yes, I will vote"
Female,65 years and older,White,Bachelor's degree or higher,"$15,000 to $24,999",NJ,0,1,Not sure
Male,18-29 year olds,Black,Some college or associate degree,"Less than $14,999",CO,0,0,"No, I will not vote but I am eligible"
Female,65 years and older,White,Bachelor's degree or higher,"$35,000 to $44,999",SC,0,1,"Yes, I will vote"
Female,65 years and older,White,Some college or associate degree,"$45,000 to $54,999",GA,1,0,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"$35,000 to $44,999",CA,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,"$150,000 and over",VA,1,0,"Yes, I will vote"
Female,65 years and older,White,High school graduate,"$55,000 to $74,999",WV,1,0,"Yes, I will vote"
Male,18-29 year olds,White,Some college or associate degree,"$35,000 to $44,999",FL,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,NA,MI,1,0,"Yes, I will vote"
Female,45-64 year olds,Black,High school graduate,"$45,000 to $54,999",IL,0,0,"No, I will not vote but I am eligible"
Female,45-64 year olds,White,Bachelor's degree or higher,"$35,000 to $44,999",NE,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$15,000 to $24,999",MI,1,0,"Yes, I will vote"
Female,18-29 year olds,Asian,Didn't graduate from high school,"$45,000 to $54,999",UT,1,0,"No, I will not vote but I am eligible"
Female,65 years and older,White,Some college or associate degree,"$100,000 to $149,999",FL,1,0,NA
Female,18-29 year olds,White,High school graduate,NA,OR,0,0,"No, I will not vote but I am eligible"
Female,18-29 year olds,White,High school graduate,NA,NC,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$55,000 to $74,999",AZ,0,1,"Yes, I will vote"
Female,65 years and older,White,High school graduate,"$25,000 to $34,999",TN,1,0,"Yes, I will vote"
Male,45-64 year olds,White,Bachelor's degree or higher,"$25,000 to $34,999",MA,0,1,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$100,000 to $149,999",IL,1,0,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",IN,0,0,"Yes, I will vote"
Female,65 years and older,White,Bachelor's degree or higher,"$45,000 to $54,999",CA,0,1,"Yes, I will vote"
Male,30-44 year olds,White,Some college or associate degree,"$75,000 to $99,999",TX,0,0,Not sure
Female,30-44 year olds,Black,NA,"$75,000 to $99,999",TX,0,0,"Yes, I will vote"
Female,65 years and older,White,High school graduate,"$25,000 to $34,999",NY,0,1,"Yes, I will vote"
Male,30-44 year olds,White,High school graduate,"$15,000 to $24,999",CO,1,0,"Yes, I will vote"
Female,30-44 year olds,Asian,Bachelor's degree or higher,"$150,000 and over",HI,0,1,"Yes, I will vote"
Male,45-64 year olds,White,Didn't graduate from high school,"$55,000 to $74,999",CA,0,0,"Yes, I will vote"
Male,18-29 year olds,White,NA,NA,CA,0,0,"No, I will not vote but I am eligible"
Female,45-64 year olds,White,Bachelor's degree or higher,"$150,000 and over",CA,0,1,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",CA,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Some college or associate degree,"$35,000 to $44,999",NY,1,0,"Yes, I will vote"
Female,30-44 year olds,White,Some college or associate degree,NA,WA,0,0,"No, I will not vote but I am eligible"
Male,30-44 year olds,Black,Some college or associate degree,"$45,000 to $54,999",DC,0,1,"Yes, I will vote"
Female,65 years and older,White,Bachelor's degree or higher,"$55,000 to $74,999",FL,0,1,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$150,000 and over",TX,1,0,"Yes, I will vote"
Female,18-29 year olds,White,High school graduate,"Less than $14,999",IN,0,1,"No, I will not vote but I am eligible"
Male,30-44 year olds,White,Bachelor's degree or higher,"$150,000 and over",NY,1,0,"Yes, I will vote"
Male,30-44 year olds,White,Some college or associate degree,"$15,000 to $24,999",GA,1,0,"Yes, I will vote"
Male,18-29 year olds,Black,High school graduate,"$55,000 to $74,999",NY,0,1,"Yes, I will vote"
Female,30-44 year olds,White,Bachelor's degree or higher,"$45,000 to $54,999",OH,0,1,"Yes, I will vote"
Male,30-44 year olds,White,NA,"$150,000 and over",CO,0,1,"Yes, I will vote"
Female,18-29 year olds,White,Didn't graduate from high school,"Less than $14,999",IL,1,0,"No, I will not vote but I am eligible"
Male,30-44 year olds,White,Bachelor's degree or higher,"$25,000 to $34,999",NJ,0,1,"Yes, I will vote"
Male,45-64 year olds,White,High school graduate,NA,IL,0,1,"Yes, I will vote"
Male,30-44 year olds,Black,Bachelor's degree or higher,"$45,000 to $54,999",MN,1,0,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",GA,0,0,"Yes, I will vote"
Female,45-64 year olds,White,High school graduate,"$15,000 to $24,999",MO,1,0,"Yes, I will vote"
Male,18-29 year olds,White,High school graduate,"Less than $14,999",KS,0,0,"No, I will not vote but I am eligible"
Male,18-29 year olds,Asian,Bachelor's degree or higher,"$35,000 to $44,999",WA,1,0,"No, I will not vote but I am eligible"
Female,30-44 year olds,Other,Bachelor's degree or higher,"$75,000 to $99,999",CA,0,1,"Yes, I will vote"
Female,18-29 year olds,Black,Didn't graduate from high school,NA,TX,0,1,"No, I am not eligible to vote"
Female,18-29 year olds,White,Some college or associate degree,"$100,000 to $149,999",CA,0,1,"Yes, I will vote"
Male,45-64 year olds,White,Bachelor's degree or higher,"$55,000 to $74,999",PA,1,0,"Yes, I will vote"
Male,30-44 year olds,White,NA,"$150,000 and over",CA,1,0,"Yes, I will vote"
Male,65 years and older,White,Bachelor's degree or higher,"$35,000 to $44,999",AZ,0,1,"Yes, I will vote"
Male,18-29 year olds,White,High school graduate,"Less than $14,999",OH,1,0,"Yes, I will vote"
Female,45-64 year olds,White,Bachelor's degree or higher,NA,CA,0,1,"Yes, I will vote"
Male,30-44 year olds,Black,Didn't graduate from high school,"$25,000 to $34,999",MO,0,1,"Yes, I will vote"
Male,45-64 year olds,White,Some college or associate degree,"$75,000 to $99,999",WI,0,1,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$150,000 and over",NY,1,0,"Yes, I will vote"
Male,45-64 year olds,Black,High school graduate,"$55,000 to $74,999",SC,0,0,"Yes, I will vote"
Female,30-44 year olds,White,Some college or associate degree,"$45,000 to $54,999",WI,1,0,"No, I am not eligible to vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",PA,0,1,"Yes, I will vote"
Male,18-29 year olds,White,High school graduate,"Less than $14,999",NY,0,1,Not sure
Female,18-29 year olds,White,High school graduate,"$15,000 to $24,999",OH,0,0,"No, I will not vote but I am eligible"
Female,30-44 year olds,White,Bachelor's degree or higher,"$100,000 to $149,999",MN,0,1,"Yes, I will vote"
Male,18-29 year olds,White,High school graduate,"Less than $14,999",NM,0,0,"No, I will not vote but I am eligible"
Male,30-44 year olds,White,Didn't graduate from high school,"Less than $14,999",OH,0,0,"Yes, I will vote"
Male,30-44 year olds,White,Bachelor's degree or higher,"$25,000 to $34,999",NH,0,1,"Yes, I will vote"
Female,30-44 year olds,White,High school graduate,"$35,000 to $44,999",MI,0,1,"Yes, I will vote"
Female,18-29 year olds,White,Didn't graduate from high school,"Less than $14,999",CO,0,1,"Yes, I will vote"
